City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
12,Georgetown,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
14,Rikitea,PF,76.3,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Atuona,PF,78.53,few clouds,-9.8,-139.0333,Villa Enata
17,Sola,VU,80.53,overcast clouds,-13.8833,167.55,Leumerus Bungalows
18,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
19,Catuday,PH,82.74,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
20,Mabaruma,GY,75.22,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
21,Madimba,TZ,81.18,broken clouds,-10.4,40.3333,
22,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
23,Karratha,AU,77.41,clear sky,-20.7377,116.8463,ibis Styles Karratha
24,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
25,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Butaritari,KI,80.33,moderate rain,3.0707,172.7902,Isles Sunset Lodge
34,Kandrian,PG,78.06,broken clouds,-6.2167,149.55,Kandrian Station
39,Lasa,IT,77.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
41,Chumphon,TH,75.92,broken clouds,10.3333,98.8333,สกาน จ๋า.
42,Bathsheba,BB,82.9,clear sky,13.2167,-59.5167,Atlantis Hotel
44,Soyo,AO,83.26,few clouds,-6.1349,12.3689,Hotel Mpampa
48,Mitu,CO,77.4,overcast clouds,1.1983,-70.1733,
55,Avera,US,79.38,overcast clouds,33.194,-82.5271,
56,Alofi,NU,76.19,overcast clouds,-19.0595,-169.9187,Taloa Heights
62,Torbat-E Jam,IR,77.13,clear sky,35.244,60.6225,White building
64,Bujaru,BR,85.26,light rain,-1.515,-48.0447,Hotel & Restaurante Beira Rio
71,Dingle,PH,78.28,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
73,Bintulu,MY,81.97,light rain,3.1667,113.0333,900 Boutique INN
75,Norsup,VU,77.83,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
80,Ambilobe,MG,77.43,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
83,Cayenne,GF,82.44,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
87,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Kavieng,PG,81.55,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
93,Maneromango,TZ,76.77,clear sky,-7.1988,38.7848,
94,Sambava,MG,78.46,scattered clouds,-14.2667,50.1667,Melrose
102,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
106,Iberia,US,82.06,clear sky,29.9502,-91.7507,back to back rv park
107,Kourou,GF,82.45,light rain,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
113,Soc Trang,VN,84.49,scattered clouds,9.6033,105.98,Phu Quy Hotel
114,Nushki,PK,83.32,clear sky,29.5542,66.0215,Shams hotel
117,Oistins,BB,82.09,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
123,Mvomero,TZ,81.32,light rain,-6.25,38.6667,Kisampa Bush Retreat
124,Wanning,CN,78.87,heavy intensity rain,18.8003,110.3967,Paradise Hotel
132,Yarada,IN,86.32,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
133,Altus,US,78.51,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
134,Kulhudhuffushi,MV,81.66,light rain,6.6221,73.07,Haajy Guest House 1
135,Ponta Do Sol,PT,78.71,broken clouds,32.6667,-17.1,Hotel do Campo
143,Manzil Kamil,TN,80.04,clear sky,35.6248,10.6673,Boukarra Ali
146,Cabo San Lucas,MX,78.51,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
149,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
152,San Patricio,US,82.26,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
159,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
160,Vanimo,PG,79.9,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
161,Robertsport,LR,83.1,light rain,6.7533,-11.3686,Kwepunha Retreat
163,Port Blair,IN,80.64,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
169,Key West,US,87.8,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
170,Marsh Harbour,BS,78.98,clear sky,26.5412,-77.0636,Abaco Beach Resort
176,Fuengirola,ES,77.0,few clouds,36.54,-4.6247,Hotel Las Palmeras
177,Sao Filipe,CV,79.45,broken clouds,14.8961,-24.4956,Hotel Xaguate
179,Tautira,PF,79.63,light rain,-17.7333,-149.15,Pension Oaoa
183,Savannah Bight,HN,80.1,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
184,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
188,Lamar,US,80.98,clear sky,33.6668,-95.5836,Kings Inn Paris TX
192,Kalmunai,LK,84.02,moderate rain,7.4167,81.8167,VS Villa
193,Lata,PT,77.49,overcast clouds,40.1629,-8.3327,Casa Maquia
194,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
196,Waingapu,ID,78.39,few clouds,-9.6567,120.2641,Pondok Wisata Elim
200,Faanui,PF,80.49,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
203,Champerico,GT,82.09,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
207,Ravar,IR,80.64,clear sky,31.2656,56.8055,computertik
