City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Chernyshevskiy,RU,63.0128,112.4714,37.8,97,100,6.22,overcast clouds
1,Tiksi,RU,71.6872,128.8694,5.16,100,66,3.22,broken clouds
2,Vaini,TO,-21.2,-175.2,60.96,94,20,5.75,few clouds
3,Punta Arenas,CL,-53.15,-70.9167,37.51,93,0,6.91,clear sky
4,Svetlogorsk,BY,52.6333,29.7333,58.12,62,95,13.44,overcast clouds
5,Kobryn,BY,52.2138,24.3564,59.47,57,99,12.08,overcast clouds
6,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,67,100,15.79,overcast clouds
7,Bluff,NZ,-46.6,168.3333,35.8,85,19,5.79,few clouds
8,Norman Wells,CA,65.282,-126.8329,30.24,100,100,3.44,overcast clouds
9,Albany,US,42.6001,-73.9662,70.95,86,94,3.85,overcast clouds
10,Nikolskoye,RU,59.7035,30.7861,53.49,57,95,11.45,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,38.86,93,0,8.05,clear sky
12,Georgetown,MY,5.4112,100.3354,82.33,94,20,0.0,moderate rain
13,Qaanaaq,GL,77.484,-69.3632,23.63,61,99,4.65,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,76.3,71,100,19.71,overcast clouds
15,Atuona,PF,-9.8,-139.0333,78.53,75,18,18.68,few clouds
16,Te Anau,NZ,-45.4167,167.7167,44.24,90,9,0.94,clear sky
17,Sola,VU,-13.8833,167.55,80.53,72,86,20.0,overcast clouds
18,Maceio,BR,-9.6658,-35.7353,83.64,69,75,9.22,broken clouds
19,Catuday,PH,16.2923,119.8062,82.74,72,100,3.18,overcast clouds
20,Mabaruma,GY,8.2,-59.7833,75.22,98,100,2.82,overcast clouds
21,Madimba,TZ,-10.4,40.3333,81.18,67,54,14.38,broken clouds
22,Acapulco,MX,16.8634,-99.8901,82.22,57,75,2.3,broken clouds
23,Karratha,AU,-20.7377,116.8463,77.41,67,0,7.49,clear sky
24,Hermanus,ZA,-34.4187,19.2345,75.79,47,0,8.21,clear sky
25,Puerto Ayora,EC,-0.7393,-90.3518,78.76,94,63,1.01,broken clouds
26,Klaksvik,FO,62.2266,-6.589,50.92,88,100,7.0,overcast clouds
27,Lavrentiya,RU,65.5833,-171.0,31.84,96,96,6.89,overcast clouds
28,Soavinandriana,MG,-19.1667,46.7333,62.76,57,100,2.15,overcast clouds
29,Bronnoysund,NO,65.4625,12.1997,44.6,70,75,14.0,broken clouds
30,Omachi,JP,36.5,137.8667,49.75,80,69,2.98,broken clouds
31,Arman,RU,59.7,150.1667,41.02,93,100,22.53,light rain
32,Saskylakh,RU,71.9167,114.0833,34.45,100,100,7.49,light snow
33,Butaritari,KI,3.0707,172.7902,80.33,76,1,4.76,moderate rain
34,Kandrian,PG,-6.2167,149.55,78.06,87,61,5.12,broken clouds
35,Yate,GB,51.5407,-2.4184,62.76,90,100,1.01,moderate rain
36,Cape Town,ZA,-33.9258,18.4232,74.12,54,0,5.99,clear sky
37,Port Alfred,ZA,-33.5906,26.891,70.18,76,62,5.99,broken clouds
38,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,35.78,100,100,18.19,overcast clouds
39,Lasa,IT,46.6166,10.7002,77.68,61,65,2.84,broken clouds
40,Ust-Nera,RU,64.5667,143.2,32.76,98,100,9.46,light snow
41,Chumphon,TH,10.3333,98.8333,75.92,92,81,3.22,broken clouds
42,Bathsheba,BB,13.2167,-59.5167,82.9,72,8,17.69,clear sky
43,Hilo,US,19.7297,-155.09,69.28,92,100,4.61,moderate rain
44,Soyo,AO,-6.1349,12.3689,83.26,72,23,9.89,few clouds
45,Jamestown,US,42.097,-79.2353,72.05,75,20,1.99,few clouds
46,Pilot Butte,CA,50.4668,-104.4178,48.65,81,4,12.95,clear sky
47,Hamilton,US,39.1834,-84.5333,73.2,89,40,1.99,mist
48,Mitu,CO,1.1983,-70.1733,77.4,94,100,0.45,overcast clouds
49,Busselton,AU,-33.65,115.3333,55.2,75,90,5.41,overcast clouds
50,North Platte,US,41.1239,-100.7654,60.69,59,0,10.0,clear sky
51,Dikson,RU,73.5069,80.5464,33.57,99,100,7.85,overcast clouds
52,Torbay,CA,47.6666,-52.7314,40.28,90,100,15.99,light rain
53,Barrow,US,71.2906,-156.7887,12.22,85,0,6.91,clear sky
54,Bethel,US,41.3712,-73.414,69.89,88,100,4.61,overcast clouds
55,Avera,US,33.194,-82.5271,79.38,62,100,4.7,overcast clouds
56,Alofi,NU,-19.0595,-169.9187,76.19,58,100,6.85,overcast clouds
57,Kamenka,RU,51.3223,42.7678,55.89,72,47,13.13,light rain
58,Verkhoyansk,RU,67.5447,133.385,20.05,89,94,6.6,overcast clouds
59,Victoria,HK,22.2855,114.1577,71.65,94,100,5.01,overcast clouds
60,Kaitangata,NZ,-46.2817,169.8464,42.33,93,11,3.31,few clouds
61,Mataura,NZ,-46.1927,168.8643,35.47,98,13,2.8,few clouds
62,Torbat-E Jam,IR,35.244,60.6225,77.13,16,0,7.45,clear sky
63,Horta,PT,38.5333,-28.6333,58.64,82,75,10.36,light rain
64,Bujaru,BR,-1.515,-48.0447,85.26,66,100,6.38,light rain
65,Victor Harbor,AU,-35.5667,138.6167,57.0,78,25,13.33,scattered clouds
66,Leningradskiy,RU,69.3833,178.4167,21.69,89,98,11.18,overcast clouds
67,Kungurtug,RU,50.5994,97.5228,52.95,36,6,0.69,clear sky
68,Phalaborwa,ZA,-23.943,31.1411,70.88,61,94,11.97,overcast clouds
69,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,6.91,overcast clouds
70,Kodiak,US,57.79,-152.4072,44.11,49,20,11.5,few clouds
71,Dingle,PH,10.9995,122.6711,78.28,86,88,3.49,overcast clouds
72,Haines Junction,CA,60.7522,-137.5108,31.95,93,82,0.0,broken clouds
73,Bintulu,MY,3.1667,113.0333,81.97,83,76,4.12,light rain
74,Hobart,AU,-42.8794,147.3294,55.26,80,75,11.5,broken clouds
75,Norsup,VU,-16.0667,167.3833,77.83,77,93,15.03,overcast clouds
76,Zhigansk,RU,66.7697,123.3711,23.95,85,4,8.19,clear sky
77,New Norfolk,AU,-42.7826,147.0587,54.91,83,58,1.99,broken clouds
78,Portland,US,45.5234,-122.6762,59.25,87,100,3.44,overcast clouds
79,Hami,CN,42.8,93.45,73.15,6,100,2.33,overcast clouds
80,Ambilobe,MG,-13.2,49.05,77.43,73,3,2.08,clear sky
81,Saldanha,ZA,-33.0117,17.9442,64.11,62,0,11.18,clear sky
82,Qujing,CN,25.4833,103.7833,49.17,92,100,7.05,overcast clouds
83,Cayenne,GF,4.9333,-52.3333,82.44,1,20,11.5,few clouds
84,Alma,CA,48.5501,-71.6491,65.41,76,100,10.25,overcast clouds
85,Hastings,GB,50.8552,0.5729,67.98,70,99,8.61,overcast clouds
86,Boddam,GB,57.4667,-1.7833,61.43,88,57,12.28,broken clouds
87,Mahebourg,MU,-20.4081,57.7,75.49,78,40,3.44,scattered clouds
88,Tasiilaq,GL,65.6145,-37.6368,30.36,94,100,12.08,snow
89,Akalkot,IN,17.5333,76.2167,103.64,18,62,14.14,broken clouds
90,Abu Kamal,SY,34.4506,40.9171,100.17,11,28,16.8,scattered clouds
91,Beringovskiy,RU,63.05,179.3167,37.18,75,93,8.84,overcast clouds
92,Kavieng,PG,-2.5744,150.7967,81.55,73,100,6.42,overcast clouds
93,Maneromango,TZ,-7.1988,38.7848,76.77,75,9,5.73,clear sky
94,Sambava,MG,-14.2667,50.1667,78.46,71,27,19.44,scattered clouds
95,Andenes,NO,69.3143,16.1194,40.98,87,75,14.97,light intensity drizzle
96,Nemuro,JP,43.3236,145.575,43.02,89,3,11.63,clear sky
97,Severnyy-Kospashskiy,RU,59.0925,57.8008,57.6,44,92,6.69,light rain
98,Yellowknife,CA,62.456,-114.3525,39.72,65,75,11.01,broken clouds
99,Airai,TL,-8.9266,125.4092,61.47,96,96,1.83,overcast clouds
100,Kikwit,CD,-5.041,18.8162,92.12,38,67,1.01,broken clouds
101,Kapaa,US,22.0752,-159.319,73.72,93,75,10.36,moderate rain
102,Puerto Colombia,CO,10.9878,-74.9547,86.09,74,100,3.11,overcast clouds
103,Seoul,KR,37.5683,126.9778,54.84,41,29,5.68,scattered clouds
104,Asfi,MA,32.2994,-9.2372,67.51,73,11,10.33,few clouds
105,Henties Bay,NA,-22.116,14.2845,66.38,59,2,8.03,clear sky
106,Iberia,US,29.9502,-91.7507,82.06,78,0,5.75,clear sky
107,Kourou,GF,5.1552,-52.6478,82.45,88,79,10.04,light rain
108,Necochea,AR,-38.5473,-58.7368,51.53,83,100,19.53,overcast clouds
109,Flinders,AU,-34.5833,150.8552,59.38,85,0,1.99,clear sky
110,Stornoway,GB,58.2093,-6.3865,60.93,79,20,12.66,few clouds
111,Mount Hagen,PG,-5.8581,144.2274,58.3,96,100,1.5,overcast clouds
112,Reo,BF,12.3167,-2.4667,103.86,18,89,2.17,overcast clouds
113,Soc Trang,VN,9.6033,105.98,84.49,76,34,7.0,scattered clouds
114,Nushki,PK,29.5542,66.0215,83.32,18,0,17.87,clear sky
115,Provideniya,RU,64.3833,-173.3,34.68,87,33,7.36,scattered clouds
116,Lima,PE,-12.0432,-77.0282,64.9,81,100,6.91,overcast clouds
117,Oistins,BB,13.0667,-59.5333,82.09,73,7,17.87,clear sky
118,Pisco,PE,-13.7,-76.2167,62.65,94,100,4.61,mist
119,Chuy,UY,-33.6971,-53.4616,59.86,56,100,11.23,light rain
120,Manitouwadge,CA,49.1215,-85.8403,56.84,52,5,9.98,clear sky
121,Velyka Bahachka,UA,49.7912,33.7226,59.09,67,78,13.33,light rain
122,Valparaiso,CL,-33.0393,-71.6273,66.43,51,0,3.44,clear sky
123,Mvomero,TZ,-6.25,38.6667,81.32,69,90,7.09,light rain
124,Wanning,CN,18.8003,110.3967,78.87,92,100,8.48,heavy intensity rain
125,Mikuni,JP,36.2171,136.1519,53.51,76,100,2.77,moderate rain
126,Saint-Pierre,RE,-21.3393,55.4781,74.88,69,0,19.57,clear sky
127,Sukhobezvodnoye,RU,57.0491,44.8891,57.38,55,76,7.54,broken clouds
128,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,11.5,light snow
129,Salalah,OM,17.0151,54.0924,91.49,38,0,6.91,clear sky
130,Geraldton,AU,-28.7667,114.6,59.41,82,4,1.14,clear sky
131,Cherskiy,RU,68.75,161.3,19.33,91,100,3.94,overcast clouds
132,Yarada,IN,17.65,83.2667,86.32,84,20,5.75,few clouds
133,Altus,US,34.6381,-99.334,78.51,64,0,18.41,clear sky
134,Kulhudhuffushi,MV,6.6221,73.07,81.66,82,100,20.94,light rain
135,Ponta Do Sol,PT,32.6667,-17.1,78.71,65,61,9.66,broken clouds
136,Pulandian,CN,39.3953,121.9669,60.04,40,11,9.4,few clouds
137,Dunedin,NZ,-45.8742,170.5036,48.79,92,43,1.99,scattered clouds
138,Fenoarivo,MG,-18.933,47.4354,66.27,59,40,11.5,scattered clouds
139,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,53,0,10.36,clear sky
140,Nampa,US,43.5407,-116.5635,58.35,79,0,6.91,clear sky
141,Chokurdakh,RU,70.6333,147.9167,5.11,96,60,5.41,broken clouds
142,Ancud,CL,-41.8697,-73.8203,47.77,80,40,9.53,scattered clouds
143,Manzil Kamil,TN,35.6248,10.6673,80.04,61,0,19.57,clear sky
144,Carnarvon,AU,-24.8667,113.6333,71.06,35,0,11.97,clear sky
145,Darhan,MN,49.4867,105.9228,61.3,23,78,2.98,broken clouds
146,Cabo San Lucas,MX,22.8909,-109.9124,78.51,42,33,5.68,scattered clouds
147,Sistranda,NO,63.7256,8.834,46.36,63,93,16.67,overcast clouds
148,Asau,RO,46.4333,26.4,70.95,46,97,2.89,overcast clouds
149,Quatre Cocos,MU,-20.2078,57.7625,75.31,80,31,11.25,light rain
150,Laiwu,CN,36.1928,117.6569,62.46,27,25,1.45,scattered clouds
151,Saint George,US,37.1041,-113.5841,63.19,14,0,3.44,clear sky
152,San Patricio,US,28.017,-97.5169,82.26,76,7,9.08,clear sky
153,Tuatapere,NZ,-46.1333,167.6833,43.92,90,9,4.05,clear sky
154,Constitucion,CL,-35.3333,-72.4167,57.2,51,61,3.11,broken clouds
155,Ucluelet,CA,48.9329,-125.5528,50.09,93,100,9.37,overcast clouds
156,Iqaluit,CA,63.7506,-68.5145,22.73,67,40,13.8,scattered clouds
157,Longyearbyen,SJ,78.2186,15.6401,31.84,69,75,3.44,broken clouds
158,Wajima,JP,37.4,136.9,55.36,74,100,4.74,overcast clouds
159,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,75,17.27,broken clouds
160,Vanimo,PG,-2.6741,141.3028,79.9,81,79,2.71,broken clouds
161,Robertsport,LR,6.7533,-11.3686,83.1,78,68,8.12,light rain
162,Nanakuli,US,21.3906,-158.1547,74.1,68,0,5.75,clear sky
163,Port Blair,IN,11.6667,92.75,80.64,89,75,5.75,drizzle
164,Castro,BR,-24.7911,-50.0119,57.97,96,100,4.92,overcast clouds
165,Hirara,JP,24.8,125.2833,72.63,81,100,26.06,overcast clouds
166,Bulgan,MN,48.8125,103.5347,56.79,21,41,3.6,scattered clouds
167,Upernavik,GL,72.7868,-56.1549,18.37,69,9,0.54,clear sky
168,Vardo,NO,70.3705,31.1107,42.78,81,20,6.91,few clouds
169,Key West,US,24.5557,-81.7826,87.8,63,40,10.36,scattered clouds
170,Marsh Harbour,BS,26.5412,-77.0636,78.98,75,5,3.15,clear sky
171,Joensuu,FI,62.6012,29.7632,46.89,81,100,5.75,overcast clouds
172,Krasnovishersk,RU,60.4078,57.082,55.31,69,38,7.65,light rain
173,Ballina,AU,-28.8667,153.5667,71.78,94,20,3.42,few clouds
174,La Sarre,CA,48.8002,-79.1996,66.2,63,100,4.41,overcast clouds
175,Klyuchi,RU,52.2667,79.1667,63.07,66,26,9.42,scattered clouds
176,Fuengirola,ES,36.54,-4.6247,77.0,53,20,10.36,few clouds
177,Sao Filipe,CV,14.8961,-24.4956,79.45,62,64,7.96,broken clouds
178,Lebu,CL,-37.6167,-73.65,53.65,46,100,2.1,overcast clouds
179,Tautira,PF,-17.7333,-149.15,79.63,77,30,11.86,light rain
180,Half Moon Bay,US,37.4636,-122.4286,57.87,90,100,11.5,mist
181,Guerrero Negro,MX,27.9769,-114.0611,61.9,83,27,8.43,scattered clouds
182,Palaikastron,GR,35.2,26.25,70.43,65,0,9.69,clear sky
183,Savannah Bight,HN,16.45,-85.85,80.1,73,96,5.95,overcast clouds
184,Kununurra,AU,-15.7667,128.7333,76.98,73,1,1.14,clear sky
185,Viedma,AR,-40.8135,-62.9967,53.44,70,100,22.03,overcast clouds
186,Karasjok,NO,69.4719,25.5112,39.78,100,100,3.13,overcast clouds
187,Bereda,ES,43.2686,-7.5406,71.42,46,100,8.88,overcast clouds
188,Lamar,US,33.6668,-95.5836,80.98,83,0,6.91,clear sky
189,Santander De Quilichao,CO,3.0095,-76.4849,74.37,75,25,1.92,scattered clouds
190,Escanaba,US,45.7453,-87.0646,66.16,54,0,6.91,clear sky
191,Gunjur,GM,13.2019,-16.7339,95.07,43,0,9.22,clear sky
192,Kalmunai,LK,7.4167,81.8167,84.02,71,100,7.23,moderate rain
193,Lata,PT,40.1629,-8.3327,77.49,47,100,14.5,overcast clouds
194,Souillac,MU,-20.5167,57.5167,75.58,78,40,3.44,light rain
195,Saint-Philippe,RE,-21.3585,55.7679,74.79,73,41,9.55,scattered clouds
196,Waingapu,ID,-9.6567,120.2641,78.39,82,22,5.28,few clouds
197,Sevsk,RU,52.1491,34.4926,54.7,75,54,12.33,light rain
198,Saiki,JP,32.95,131.9,59.61,64,100,3.0,overcast clouds
199,East London,ZA,-33.0153,27.9116,68.94,77,0,9.22,clear sky
200,Faanui,PF,-16.4833,-151.75,80.49,62,11,8.59,few clouds
201,Puerto Montt,CL,-41.4698,-72.9447,41.83,100,100,3.44,fog
202,Port Hardy,CA,50.6996,-127.4199,48.2,93,100,2.3,overcast clouds
203,Champerico,GT,14.3,-91.9167,82.09,73,99,4.29,overcast clouds
204,Aklavik,CA,68.2191,-135.0107,26.6,86,100,5.75,light snow
205,Usinsk,RU,65.9939,57.5281,51.57,69,100,6.38,overcast clouds
206,Khelyulya,RU,61.7333,30.6833,51.01,65,100,11.61,overcast clouds
207,Ravar,IR,31.2656,56.8055,80.64,11,0,8.77,clear sky
208,Mogadishu,SO,2.0371,45.3438,82.27,73,34,14.27,scattered clouds
209,Antofagasta,CL,-23.65,-70.4,58.28,62,38,3.53,scattered clouds
210,Okhotsk,RU,59.3833,143.3,34.12,96,100,42.39,light snow
211,Baykit,RU,61.67,96.37,57.45,51,1,2.62,clear sky
212,Christchurch,NZ,-43.5333,172.6333,52.92,94,75,6.91,mist
213,Bud,US,39.447,-86.1758,74.98,79,4,4.63,clear sky
214,Mount Gambier,AU,-37.8333,140.7667,53.6,66,33,12.41,scattered clouds
215,Georgiyevskoye,RU,58.731,45.024,49.87,86,100,5.37,light rain
216,San Jorge,AR,-31.8962,-61.8598,55.0,72,72,13.0,broken clouds
217,Bredasdorp,ZA,-34.5322,20.0403,66.94,56,0,12.55,clear sky
218,Vila Velha,BR,-20.3297,-40.2925,78.75,69,75,8.05,broken clouds
219,Novyy Nekouz,RU,57.9029,38.07,56.59,60,97,8.9,light rain
220,Montepuez,MZ,-13.1256,38.9997,72.43,60,100,4.52,overcast clouds
221,Gniezno,PL,52.5348,17.5826,67.39,48,21,10.0,few clouds
222,Adrar,MR,20.5022,-10.0711,105.13,7,5,16.89,clear sky
223,Husavik,IS,66.0449,-17.3389,48.56,77,99,10.36,overcast clouds
224,Grindavik,IS,63.8424,-22.4338,55.35,87,75,23.02,broken clouds
225,Sugod,PH,12.987,124.0805,79.9,82,100,5.23,overcast clouds
226,Lagos,NG,6.5833,3.75,91.72,55,100,7.87,overcast clouds
227,Cidreira,BR,-30.1811,-50.2056,62.51,95,100,12.24,overcast clouds
228,Dwarka,IN,22.2394,68.9678,84.27,79,0,16.44,clear sky
229,Avarua,CK,-21.2078,-159.775,69.85,88,75,3.44,broken clouds
230,Nadym,RU,65.5333,72.5167,49.26,83,55,13.04,broken clouds
231,Nome,US,64.5011,-165.4064,33.87,93,100,10.36,mist
232,Codrington,AU,-38.2667,141.9667,50.36,78,9,12.62,clear sky
233,Bengkulu,ID,-3.8004,102.2655,78.98,89,100,3.2,overcast clouds
234,Lahat,ID,-3.8,103.5333,75.15,93,75,3.51,light rain
235,Kavaratti,IN,10.5669,72.642,81.18,79,100,14.94,overcast clouds
236,Salina,US,38.8403,-97.6114,66.02,78,75,16.11,broken clouds
237,Berlevag,NO,70.8578,29.0864,42.6,81,100,13.8,overcast clouds
238,Srednekolymsk,RU,67.45,153.6833,23.56,93,99,11.34,overcast clouds
239,Ostrovnoy,RU,68.0531,39.5131,38.88,75,20,9.06,few clouds
